iShares Russell 2000 ETF
Fund Holdings as of,"Apr 23, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"276,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"OTTR","OTTER TAIL CORP","Utilities","Equity","79,375,068.85","0.10","79,375,068.85","896,387.00","88.55","United States","NASDAQ","USD","1.00","USD","-"
"AVNT","AVIENT CORP","Materials","Equity","78,861,128.90","0.10","78,861,128.90","2,126,210.00","37.09","United States","NYSE","USD","1.00","USD","-"
"CENX","CENTURY ALUMINUM","Materials","Equity","78,694,983.97","0.10","78,694,983.97","1,314,431.00","59.87","United States","NASDAQ","USD","1.00","USD","-"
"PLMR","PALOMAR HOLDINGS INC","Financials","Equity","78,592,328.10","0.10","78,592,328.10","610,663.00","128.70","United States","NASDAQ","USD","1.00","USD","-"
"PI","IMPINJ INC","Information Technology","Equity","78,493,244.40","0.10","78,493,244.40","649,080.00","120.93","United States","NASDAQ","USD","1.00","USD","-"
"AVA","AVISTA CORP","Utilities","Equity","78,107,535.00","0.10","78,107,535.00","1,893,516.00","41.25","United States","NYSE","USD","1.00","USD","-"
"VCTR","VICTORY CAPITAL HOLDINGS CLASS A I","Financials","Equity","77,926,979.88","0.10","77,926,979.88","1,045,719.00","74.52","United States","NASDAQ","USD","1.00","USD","-"
"TVTX","TRAVERE THERAPEUTICS INC","Health Care","Equity","77,888,070.52","0.10","77,888,070.52","1,908,086.00","40.82","United States","NASDAQ","USD","1.00","USD","-"
"BTU","PEABODY ENERGY CORP","Energy","Equity","77,481,440.64","0.10","77,481,440.64","2,831,924.00","27.36","United States","NYSE","USD","1.00","USD","-"
"NATL","NCR ATLEOS CORP","Financials","Equity","77,325,815.06","0.10","77,325,815.06","1,704,338.00","45.37","United States","NYSE","USD","1.00","USD","-"
"OSCR","OSCAR HEALTH INC CLASS A","Financials","Equity","77,166,863.15","0.10","77,166,863.15","4,696,705.00","16.43","United States","NYSE","USD","1.00","USD","-"
"OPLN","OPENLANE INC","Industrials","Equity","77,168,970.48","0.10","77,168,970.48","2,437,428.00","31.66","United States","NYSE","USD","1.00","USD","-"
"VSH","VISHAY INTERTECHNOLOGY INC","Information Technology","Equity","76,915,092.30","0.10","76,915,092.30","2,814,310.00","27.33","United States","NYSE","USD","1.00","USD","-"
"CALM","CAL MAINE FOODS INC","Consumer Staples","Equity","76,715,088.32","0.10","76,715,088.32","1,007,024.00","76.18","United States","NASDAQ","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","76,695,226.74","0.10","76,695,226.74","3,258,081.00","23.54","United States","NYSE","USD","1.00","USD","-"
"SYNA","SYNAPTICS INC","Information Technology","Equity","76,631,356.20","0.10","76,631,356.20","902,076.00","84.95","United States","NASDAQ","USD","1.00","USD","-"
"SXI","STANDEX INTERNATIONAL CORP","Industrials","Equity","76,420,472.95","0.10","76,420,472.95","278,105.00","274.79","United States","NYSE","USD","1.00","USD","-"
"EXPO","EXPONENT INC","Industrials","Equity","76,372,662.69","0.10","76,372,662.69","1,152,447.00","66.27","United States","NASDAQ","USD","1.00","USD","-"
"CBU","COMMUNITY FINANCIAL SYSTEM INC","Financials","Equity","76,296,236.88","0.10","76,296,236.88","1,208,749.00","63.12","United States","NYSE","USD","1.00","USD","-"
"ADEA","ADEIA INC","Information Technology","Equity","76,075,749.21","0.10","76,075,749.21","2,524,917.00","30.13","United States","NASDAQ","USD","1.00","USD","-"
"HWKN","HAWKINS INC","Materials","Equity","75,590,049.60","0.10","75,590,049.60","451,230.00","167.52","United States","NASDAQ","USD","1.00","USD","-"
"CRGY","CRESCENT ENERGY CLASS A","Energy","Equity","75,544,578.40","0.10","75,544,578.40","5,948,392.00","12.70","United States","NYSE","USD","1.00","USD","-"
"PATK","PATRICK INDUSTRIES INC","Consumer Discretionary","Equity","75,469,494.10","0.10","75,469,494.10","753,941.00","100.10","United States","NASDAQ","USD","1.00","USD","-"
"WSBC","WESBANCO INC","Financials","Equity","75,148,693.40","0.10","75,148,693.40","2,203,774.00","34.10","United States","NASDAQ","USD","1.00","USD","-"
"FFBC","FIRST FINANCIAL BANCORP","Financials","Equity","74,594,161.80","0.10","74,594,161.80","2,498,130.00","29.86","United States","NASDAQ","USD","1.00","USD","-"
"BOH","BANK OF HAWAII CORP","Financials","Equity","74,355,259.68","0.10","74,355,259.68","954,864.00","77.87","United States","NYSE","USD","1.00","USD","-"
"DNTH","DIANTHUS THERAPEUTICS INC","Health Care","Equity","74,321,828.46","0.10","74,321,828.46","827,453.00","89.82","United States","NASDAQ","USD","1.00","USD","-"
"SEI","SOLARIS OILFIELD INFRASTRUCTURE IN","Energy","Equity","74,292,949.08","0.10","74,292,949.08","1,069,271.00","69.48","United States","NYSE","USD","1.00","USD","-"
"CPRX","CATALYST PHARMACEUTICALS INC","Health Care","Equity","74,251,323.20","0.10","74,251,323.20","2,682,490.00","27.68","United States","NASDAQ","USD","1.00","USD","-"
"NMIH","NMI HOLDINGS INC","Financials","Equity","74,064,333.00","0.10","74,064,333.00","1,799,425.00","41.16","United States","NASDAQ","USD","1.00","USD","-"
"BXMT","BLACKSTONE MORTGAGE TRUST REIT CLA","Financials","Equity","73,964,518.76","0.10","73,964,518.76","3,709,354.00","19.94","United States","NYSE","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","73,791,933.16","0.10","73,791,933.16","73,791,933.00","100.00","United States","-","USD","1.00","USD","-"
"BKD","BROOKDALE SENIOR LIVING INC","Health Care","Equity","73,321,751.80","0.10","73,321,751.80","5,375,495.00","13.64","United States","NYSE","USD","1.00","USD","-"
"PARR","PAR PACIFIC HOLDINGS INC","Energy","Equity","73,229,771.78","0.10","73,229,771.78","1,147,982.00","63.79","United States","NYSE","USD","1.00","USD","-"
"PII","POLARIS INC","Consumer Discretionary","Equity","73,189,317.76","0.10","73,189,317.76","1,231,936.00","59.41","United States","NYSE","USD","1.00","USD","-"
"RXO","RXO INC","Industrials","Equity","72,673,725.40","0.10","72,673,725.40","3,765,478.00","19.30","United States","NYSE","USD","1.00","USD","-"
"BCC","BOISE CASCADE","Industrials","Equity","72,609,913.20","0.10","72,609,913.20","866,260.00","83.82","United States","NYSE","USD","1.00","USD","-"
"AWR","AMERICAN STATES WATER","Utilities","Equity","72,057,844.00","0.10","72,057,844.00","891,805.00","80.80","United States","NYSE","USD","1.00","USD","-"
"CLSK","CLEANSPARK INC","Information Technology","Equity","71,778,518.19","0.09","71,778,518.19","5,869,053.00","12.23","United States","NASDAQ","USD","1.00","USD","-"
"INSW","INTERNATIONAL SEAWAYS INC","Energy","Equity","71,501,968.14","0.09","71,501,968.14","930,894.00","76.81","United States","NYSE","USD","1.00","USD","-"
"FIBK","FIRST INTERSTATE BANCSYSTEM INC","Financials","Equity","71,354,864.28","0.09","71,354,864.28","2,046,898.00","34.86","United States","NASDAQ","USD","1.00","USD","-"
"LUNR","INTUITIVE MACHINES INC CLASS A","Industrials","Equity","70,460,226.72","0.09","70,460,226.72","2,556,612.00","27.56","United States","NASDAQ","USD","1.00","USD","-"
"SLG","SL GREEN REALTY REIT CORP","Real Estate","Equity","70,276,329.54","0.09","70,276,329.54","1,670,859.00","42.06","United States","NYSE","USD","1.00","USD","-"
"SBCF","SEACOAST BANKING OF FLORIDA","Financials","Equity","70,238,719.78","0.09","70,238,719.78","2,193,589.00","32.02","United States","NASDAQ","USD","1.00","USD","-"
"CNK","CINEMARK HOLDINGS INC","Communication","Equity","70,234,907.60","0.09","70,234,907.60","2,455,766.00","28.60","United States","NYSE","USD","1.00","USD","-"
"SOUN","SOUNDHOUND AI INC CLASS A","Information Technology","Equity","70,205,527.98","0.09","70,205,527.98","8,977,689.00","7.82","United States","NASDAQ","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","70,091,965.24","0.09","70,091,965.24","834,031.00","84.04","United States","NASDAQ","USD","1.00","USD","-"
"CTRI","CENTURI HOLDINGS INC","Industrials","Equity","70,032,178.30","0.09","70,032,178.30","2,029,330.00","34.51","United States","NYSE","USD","1.00","USD","-"
"APLE","APPLE HOSPITALITY REIT INC","Real Estate","Equity","69,995,991.60","0.09","69,995,991.60","5,326,940.00","13.14","United States","NYSE","USD","1.00","USD","-"
"ICUI","ICU MEDICAL INC","Health Care","Equity","69,735,295.90","0.09","69,735,295.90","559,898.00","124.55","United States","NASDAQ","USD","1.00","USD","-"
"KMT","KENNAMETAL INC","Industrials","Equity","69,713,191.80","0.09","69,713,191.80","1,765,785.00","39.48","United States","NYSE","USD","1.00","USD","-"
"VC","VISTEON CORP","Consumer Discretionary","Equity","69,681,236.00","0.09","69,681,236.00","636,940.00","109.40","United States","NASDAQ","USD","1.00","USD","-"
"WDFC","WD-40","Consumer Staples","Equity","69,658,738.22","0.09","69,658,738.22","312,287.00","223.06","United States","NASDAQ","USD","1.00","USD","-"
"DORM","DORMAN PRODUCTS INC","Consumer Discretionary","Equity","69,654,091.05","0.09","69,654,091.05","636,983.00","109.35","United States","NASDAQ","USD","1.00","USD","-"
"SFNC","SIMMONS FIRST NATIONAL CORP CLASS","Financials","Equity","69,569,370.75","0.09","69,569,370.75","3,252,425.00","21.39","United States","NASDAQ","USD","1.00","USD","-"
"GPOR","GULFPORT ENERGY CORP","Energy","Equity","69,527,146.15","0.09","69,527,146.15","368,551.00","188.65","United States","NYSE","USD","1.00","USD","-"
"SDRL","SEADRILL LTD","Energy","Equity","69,476,168.36","0.09","69,476,168.36","1,455,913.00","47.72","United States","NYSE","USD","1.00","USD","-"
"CPK","CHESAPEAKE UTILITIES CORP","Utilities","Equity","69,217,601.13","0.09","69,217,601.13","541,143.00","127.91","United States","NYSE","USD","1.00","USD","-"
"VECO","VEECO INSTRUMENTS INC","Information Technology","Equity","69,076,313.65","0.09","69,076,313.65","1,376,845.00","50.17","United States","NASDAQ","USD","1.00","USD","-"
"LXP","LXP INDUSTRIAL TRUST","Real Estate","Equity","68,752,747.21","0.09","68,752,747.21","1,361,171.00","50.51","United States","NYSE","USD","1.00","USD","-"
"CARG","CARGURUS INC CLASS A","Communication","Equity","68,728,575.20","0.09","68,728,575.20","1,833,740.00","37.48","United States","NASDAQ","USD","1.00","USD","-"
"MGEE","MGE ENERGY INC","Utilities","Equity","68,720,588.10","0.09","68,720,588.10","853,142.00","80.55","United States","NASDAQ","USD","1.00","USD","-"
"QTWO","Q2 HOLDINGS INC","Information Technology","Equity","68,469,986.70","0.09","68,469,986.70","1,441,170.00","47.51","United States","NYSE","USD","1.00","USD","-"
"RUN","SUNRUN INC","Industrials","Equity","68,185,890.72","0.09","68,185,890.72","5,261,257.00","12.96","United States","NASDAQ","USD","1.00","USD","-"
"PFS","PROVIDENT FINANCIAL SERVICES INC","Financials","Equity","67,713,714.25","0.09","67,713,714.25","2,976,427.00","22.75","United States","NYSE","USD","1.00","USD","-"
"ITGR","INTEGER HOLDINGS CORP","Health Care","Equity","67,698,847.06","0.09","67,698,847.06","797,771.00","84.86","United States","NYSE","USD","1.00","USD","-"
"TOWN","TOWNEBANK","Financials","Equity","67,461,162.84","0.09","67,461,162.84","1,915,422.00","35.22","United States","NASDAQ","USD","1.00","USD","-"
"GPGI","GPGI INC CLASS A","Information Technology","Equity","67,181,031.20","0.09","67,181,031.20","4,106,420.00","16.36","United States","NYSE","USD","1.00","USD","-"
"AEO","AMERICAN EAGLE OUTFITTERS INC","Consumer Discretionary","Equity","67,133,614.72","0.09","67,133,614.72","3,690,688.00","18.19","United States","NYSE","USD","1.00","USD","-"
"MRX","MAREX GROUP PLC","Financials","Equity","66,785,604.60","0.09","66,785,604.60","1,280,890.00","52.14","United Kingdom","NASDAQ","USD","1.00","USD","-"
"PLAB","PHOTRONICS INC","Information Technology","Equity","66,745,918.00","0.09","66,745,918.00","1,322,225.00","50.48","United States","NASDAQ","USD","1.00","USD","-"
"BEAM","BEAM THERAPEUTICS INC","Health Care","Equity","66,712,954.88","0.09","66,712,954.88","2,211,968.00","30.16","United States","NASDAQ","USD","1.00","USD","-"
"TNGX","TANGO THERAPEUTICS INC","Health Care","Equity","66,399,028.54","0.09","66,399,028.54","2,566,642.00","25.87","United States","NASDAQ","USD","1.00","USD","-"
"CAKE","CHEESECAKE FACTORY INC","Consumer Discretionary","Equity","66,346,498.40","0.09","66,346,498.40","1,072,180.00","61.88","United States","NASDAQ","USD","1.00","USD","-"
"DAVE","DAVE INC CLASS A","Financials","Equity","66,063,205.65","0.09","66,063,205.65","240,799.00","274.35","United States","NASDAQ","USD","1.00","USD","-"
"UNFI","UNITED NATURAL FOODS INC","Consumer Staples","Equity","66,038,164.65","0.09","66,038,164.65","1,387,065.00","47.61","United States","NYSE","USD","1.00","USD","-"
"LCII","LCI INDUSTRIES","Consumer Discretionary","Equity","66,021,377.40","0.09","66,021,377.40","547,668.00","120.55","United States","NYSE","USD","1.00","USD","-"
"CWT","CALIFORNIA WATER SERVICE GROUP","Utilities","Equity","65,853,643.68","0.09","65,853,643.68","1,385,809.00","47.52","United States","NYSE","USD","1.00","USD","-"
"UPST","UPSTART HOLDINGS INC","Financials","Equity","65,791,201.74","0.09","65,791,201.74","2,004,607.00","32.82","United States","NASDAQ","USD","1.00","USD","-"
"DBRG","DIGITALBRIDGE GROUP INC CLASS A","Financials","Equity","65,433,951.17","0.09","65,433,951.17","4,191,797.00","15.61","United States","NYSE","USD","1.00","USD","-"
"MGRC","MCGRATH RENT","Industrials","Equity","65,285,155.00","0.09","65,285,155.00","567,697.00","115.00","United States","NASDAQ","USD","1.00","USD","-"
"BELFB","BEL FUSE INC CLASS B","Information Technology","Equity","65,129,301.09","0.09","65,129,301.09","242,739.00","268.31","United States","NASDAQ","USD","1.00","USD","-"
"HGV","HILTON GRAND VACATIONS INC","Consumer Discretionary","Equity","65,070,604.03","0.09","65,070,604.03","1,412,429.00","46.07","United States","NYSE","USD","1.00","USD","-"
"WAFD","WAFD INC","Financials","Equity","64,993,751.90","0.09","64,993,751.90","1,834,945.00","35.42","United States","NASDAQ","USD","1.00","USD","-"
"MXL","MAXLINEAR INC","Information Technology","Equity","64,927,245.50","0.09","64,927,245.50","1,895,686.00","34.25","United States","NASDAQ","USD","1.00","USD","-"
"HAE","HAEMONETICS CORP","Health Care","Equity","64,765,027.14","0.09","64,765,027.14","1,086,297.00","59.62","United States","NYSE","USD","1.00","USD","-"
"AEHR","AEHR TEST SYSTEMS","Information Technology","Equity","64,755,397.96","0.09","64,755,397.96","677,996.00","95.51","United States","NASDAQ","USD","1.00","USD","-"
"AKR","ACADIA REALTY TRUST REIT","Real Estate","Equity","64,526,945.04","0.09","64,526,945.04","3,081,516.00","20.94","United States","NYSE","USD","1.00","USD","-"
"ACAD","ACADIA PHARMACEUTICALS INC","Health Care","Equity","64,493,123.31","0.09","64,493,123.31","2,916,921.00","22.11","United States","NASDAQ","USD","1.00","USD","-"
"UE","URBAN EDGE PROPERTIES","Real Estate","Equity","64,494,749.09","0.09","64,494,749.09","2,987,251.00","21.59","United States","NYSE","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS INC","Information Technology","Equity","64,443,159.04","0.09","64,443,159.04","2,694,112.00","23.92","United States","NASDAQ","USD","1.00","USD","-"
"PHIN","PHINIA INC","Consumer Discretionary","Equity","64,276,805.25","0.08","64,276,805.25","882,075.00","72.87","United States","NYSE","USD","1.00","USD","-"
"SUPN","SUPERNUS PHARMACEUTICALS INC","Health Care","Equity","64,241,052.03","0.08","64,241,052.03","1,274,877.00","50.39","United States","NASDAQ","USD","1.00","USD","-"
"BBT","BEACON FINANCIAL CORP","Financials","Equity","64,212,223.40","0.08","64,212,223.40","2,024,345.00","31.72","United States","NYSE","USD","1.00","USD","-"
"ACMR","ACM RESEARCH CLASS A INC","Information Technology","Equity","64,154,481.34","0.08","64,154,481.34","1,188,266.00","53.99","United States","NASDAQ","USD","1.00","USD","-"
"PBH","PRESTIGE CONSUMER HEALTHCARE INC","Health Care","Equity","64,111,008.51","0.08","64,111,008.51","1,109,763.00","57.77","United States","NYSE","USD","1.00","USD","-"
"CURB","CURBLINE PROPERTIES","Real Estate","Equity","64,022,173.76","0.08","64,022,173.76","2,259,872.00","28.33","United States","NYSE","USD","1.00","USD","-"
"DNLI","DENALI THERAPEUTICS INC","Health Care","Equity","63,866,136.70","0.08","63,866,136.70","3,283,606.00","19.45","United States","NASDAQ","USD","1.00","USD","-"
"WAY","WAYSTAR HOLDING CORP","Health Care","Equity","63,439,440.75","0.08","63,439,440.75","2,552,895.00","24.85","United States","NASDAQ","USD","1.00","USD","-"
"PRVA","PRIVIA HEALTH GROUP INC","Health Care","Equity","63,129,859.50","0.08","63,129,859.50","2,686,377.00","23.50","United States","NASDAQ","USD","1.00","USD","-"
"SHOO","STEVEN MADDEN LTD","Consumer Discretionary","Equity","63,022,065.08","0.08","63,022,065.08","1,660,223.00","37.96","United States","NASDAQ","USD","1.00","USD","-"
"RRR","RED ROCK RESORTS ORS CLASS A INC","Consumer Discretionary","Equity","62,713,080.24","0.08","62,713,080.24","1,128,136.00","55.59","United States","NASDAQ","USD","1.00","USD","-"
"GOLF","ACUSHNET HOLDINGS CORP","Consumer Discretionary","Equity","62,672,517.12","0.08","62,672,517.12","633,824.00","98.88","United States","NYSE","USD","1.00","USD","-"
"ARCB","ARCBEST CORP","Industrials","Equity","62,659,549.38","0.08","62,659,549.38","522,642.00","119.89","United States","NASDAQ","USD","1.00","USD","-"
"NGVT","INGEVITY CORP","Materials","Equity","62,609,320.82","0.08","62,609,320.82","831,907.00","75.26","United States","NYSE","USD","1.00","USD","-"
"DX","DYNEX CAPITAL REIT INC","Financials","Equity","62,482,765.60","0.08","62,482,765.60","4,594,321.00","13.60","United States","NYSE","USD","1.00","USD","-"
"CON","CONCENTRA GROUP HOLDINGS PARENT IN","Health Care","Equity","61,959,125.00","0.08","61,959,125.00","2,693,875.00","23.00","United States","NYSE","USD","1.00","USD","-"
"KN","KNOWLES CORP","Information Technology","Equity","61,896,400.86","0.08","61,896,400.86","1,979,418.00","31.27","United States","NYSE","USD","1.00","USD","-"
"JOE","ST JOE","Real Estate","Equity","61,726,366.24","0.08","61,726,366.24","887,128.00","69.58","United States","NYSE","USD","1.00","USD","-"
"NIC","NICOLET BANKSHARES INC","Financials","Equity","61,528,126.40","0.08","61,528,126.40","427,160.00","144.04","United States","NYSE","USD","1.00","USD","-"
"KALU","KAISER ALUMINIUM CORP","Materials","Equity","61,463,561.12","0.08","61,463,561.12","372,868.00","164.84","United States","NASDAQ","USD","1.00","USD","-"
"FCPT","FOUR CORNERS PROPERTY INC TRUST","Real Estate","Equity","61,455,357.95","0.08","61,455,357.95","2,443,553.00","25.15","United States","NYSE","USD","1.00","USD","-"
"MCY","MERCURY GENERAL CORP","Financials","Equity","61,440,653.48","0.08","61,440,653.48","629,257.00","97.64","United States","NYSE","USD","1.00","USD","-"
"SLNO","SOLENO THERAPEUTICS INC","Health Care","Equity","61,412,339.16","0.08","61,412,339.16","1,162,452.00","52.83","United States","NASDAQ","USD","1.00","USD","-"
"WK","WORKIVA INC CLASS A","Information Technology","Equity","61,283,168.08","0.08","61,283,168.08","1,174,232.00","52.19","United States","NYSE","USD","1.00","USD","-"
"CUBI","CUSTOMERS BANCORP INC","Financials","Equity","61,127,393.62","0.08","61,127,393.62","789,046.00","77.47","United States","NYSE","USD","1.00","USD","-"
"PFSI","PENNYMAC FINANCIAL SERVICES INC","Financials","Equity","60,792,869.40","0.08","60,792,869.40","676,604.00","89.85","United States","NYSE","USD","1.00","USD","-"
"ORKA","ORUKA THERAPEUTICS INC","Health Care","Equity","60,491,278.08","0.08","60,491,278.08","892,992.00","67.74","United States","NASDAQ","USD","1.00","USD","-"
"IVT","INVENTRUST PROPERTIES CORP","Real Estate","Equity","60,340,647.34","0.08","60,340,647.34","1,866,398.00","32.33","United States","NYSE","USD","1.00","USD","-"
"HUBG","HUB GROUP INC CLASS A","Industrials","Equity","60,294,088.50","0.08","60,294,088.50","1,386,071.00","43.50","United States","NASDAQ","USD","1.00","USD","-"
"HNI","HNI CORP","Industrials","Equity","60,245,966.80","0.08","60,245,966.80","1,619,080.00","37.21","United States","NYSE","USD","1.00","USD","-"
"VCYT","VERACYTE INC","Health Care","Equity","60,160,686.30","0.08","60,160,686.30","1,814,802.00","33.15","United States","NASDAQ","USD","1.00","USD","-"
"NOG","NORTHERN OIL AND GAS INC","Energy","Equity","60,013,657.90","0.08","60,013,657.90","2,230,991.00","26.90","United States","NYSE","USD","1.00","USD","-"
"IDYA","IDEAYA BIOSCIENCES INC","Health Care","Equity","59,880,043.00","0.08","59,880,043.00","1,950,490.00","30.70","United States","NASDAQ","USD","1.00","USD","-"
"TBBK","BANCORP INC","Financials","Equity","59,721,683.75","0.08","59,721,683.75","987,625.00","60.47","United States","NASDAQ","USD","1.00","USD","-"
"CALX","CALIX NETWORKS INC","Information Technology","Equity","59,647,748.70","0.08","59,647,748.70","1,397,230.00","42.69","United States","NYSE","USD","1.00","USD","-"
"PRK","PARK NATIONAL CORP","Financials","Equity","59,526,892.20","0.08","59,526,892.20","343,788.00","173.15","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"ADMA","ADMA BIOLOGICS INC","Health Care","Equity","59,378,118.88","0.08","59,378,118.88","5,359,036.00","11.08","United States","NASDAQ","USD","1.00","USD","-"
"PPTA","PERPETUA RESOURCES CORP","Materials","Equity","59,093,951.28","0.08","59,093,951.28","2,005,224.00","29.47","United States","NASDAQ","USD","1.00","USD","-"
"TRN","TRINITY INDUSTRIES INC","Industrials","Equity","58,951,543.65","0.08","58,951,543.65","1,864,965.00","31.61","United States","NYSE","USD","1.00","USD","-"
"CLDX","CELLDEX THERAPEUTICS INC","Health Care","Equity","58,706,461.00","0.08","58,706,461.00","1,749,820.00","33.55","United States","NASDAQ","USD","1.00","USD","-"
"BANC","BANC OF CALIFORNIA INC","Financials","Equity","58,655,280.60","0.08","58,655,280.60","3,103,454.00","18.90","United States","NYSE","USD","1.00","USD","-"
"HE","HAWAIIAN ELECTRIC INDUSTRIES INC","Utilities","Equity","58,531,619.86","0.08","58,531,619.86","3,805,697.00","15.38","United States","NYSE","USD","1.00","USD","-"
"AMBA","AMBARELLA INC","Information Technology","Equity","58,490,143.60","0.08","58,490,143.60","953,540.00","61.34","United States","NASDAQ","USD","1.00","USD","-"
"ARQT","ARCUTIS BIOTHERAPEUTICS INC","Health Care","Equity","58,215,390.30","0.08","58,215,390.30","2,546,605.00","22.86","United States","NASDAQ","USD","1.00","USD","-"
"DYN","DYNE THERAPEUTICS INC","Health Care","Equity","58,153,920.30","0.08","58,153,920.30","3,076,927.00","18.90","United States","NASDAQ","USD","1.00","USD","-"
"ANDE","ANDERSONS INC","Consumer Staples","Equity","57,941,787.80","0.08","57,941,787.80","755,434.00","76.70","United States","NASDAQ","USD","1.00","USD","-"
"MZTI","MARZETTI","Consumer Staples","Equity","57,946,200.17","0.08","57,946,200.17","462,349.00","125.33","United States","NASDAQ","USD","1.00","USD","-"
"TRMK","TRUSTMARK CORP","Financials","Equity","57,868,196.67","0.08","57,868,196.67","1,288,537.00","44.91","United States","NASDAQ","USD","1.00","USD","-"
"FRME","FIRST MERCHANTS CORP","Financials","Equity","57,857,668.40","0.08","57,857,668.40","1,457,372.00","39.70","United States","NASDAQ","USD","1.00","USD","-"
"AMPX","AMPRIUS TECHNOLOGIES INC","Industrials","Equity","57,854,451.79","0.08","57,854,451.79","2,662,423.00","21.73","United States","NYSE","USD","1.00","USD","-"
"NG","NOVAGOLD RESOURCES INC","Materials","Equity","57,333,198.21","0.08","57,333,198.21","6,507,741.00","8.81","Canada","Nyse Mkt Llc","USD","1.00","USD","-"
"GEO","GEO GROUP INC","Industrials","Equity","57,147,773.76","0.08","57,147,773.76","3,092,412.00","18.48","United States","NYSE","USD","1.00","USD","-"
"OSW","ONESPAWORLD HOLDINGS LTD","Consumer Discretionary","Equity","56,978,119.00","0.08","56,978,119.00","2,427,700.00","23.47","United States","NASDAQ","USD","1.00","USD","-"
"MSGE","MADISON SQUARE GARDEN ENTERTAINMEN","Communication","Equity","56,673,609.50","0.07","56,673,609.50","918,535.00","61.70","United States","NYSE","USD","1.00","USD","-"
"LQDA","LIQUIDIA CORP","Health Care","Equity","56,639,594.92","0.07","56,639,594.92","1,512,002.00","37.46","United States","NASDAQ","USD","1.00","USD","-"
"NMRK","NEWMARK GROUP INC CLASS A","Real Estate","Equity","56,623,506.38","0.07","56,623,506.38","3,532,346.00","16.03","United States","NASDAQ","USD","1.00","USD","-"
"ABM","ABM INDUSTRIES INC","Industrials","Equity","56,614,588.46","0.07","56,614,588.46","1,397,546.00","40.51","United States","NYSE","USD","1.00","USD","-"
"APAM","ARTISAN PARTNERS ASSET MANAGEMENT","Financials","Equity","56,420,649.60","0.07","56,420,649.60","1,480,080.00","38.12","United States","NYSE","USD","1.00","USD","-"
"VRRM","VERRA MOBILITY CORP CLASS A","Industrials","Equity","56,371,708.05","0.07","56,371,708.05","3,730,755.00","15.11","United States","NASDAQ","USD","1.00","USD","-"
"CPRI","CAPRI HOLDINGS LTD","Consumer Discretionary","Equity","56,363,501.02","0.07","56,363,501.02","2,717,623.00","20.74","United States","NYSE","USD","1.00","USD","-"
"ATKR","ATKORE INC","Industrials","Equity","56,266,994.89","0.07","56,266,994.89","780,727.00","72.07","United States","NYSE","USD","1.00","USD","-"
"BANR","BANNER CORP","Financials","Equity","56,092,744.40","0.07","56,092,744.40","827,815.00","67.76","United States","NASDAQ","USD","1.00","USD","-"
"FBNC","FIRST BANCORP","Financials","Equity","55,917,092.70","0.07","55,917,092.70","938,994.00","59.55","United States","NASDAQ","USD","1.00","USD","-"
"IBRX","IMMUNITYBIO INC","Health Care","Equity","55,891,131.66","0.07","55,891,131.66","6,824,314.00","8.19","United States","NASDAQ","USD","1.00","USD","-"
"BWIN","BALDWIN INSURANCE GROUP INC CLASS","Financials","Equity","55,845,896.32","0.07","55,845,896.32","2,209,094.00","25.28","United States","NASDAQ","USD","1.00","USD","-"
"TXG","10X GENOMICS INC CLASS A","Health Care","Equity","55,819,855.98","0.07","55,819,855.98","2,605,969.00","21.42","United States","NASDAQ","USD","1.00","USD","-"
"TARS","TARSUS PHARMACEUTICALS INC","Health Care","Equity","55,764,930.13","0.07","55,764,930.13","914,629.00","60.97","United States","NASDAQ","USD","1.00","USD","-"
"BHE","BENCHMARK ELECTRONICS INC","Information Technology","Equity","55,712,337.20","0.07","55,712,337.20","824,147.00","67.60","United States","NYSE","USD","1.00","USD","-"
"DHT","DHT HOLDINGS INC","Energy","Equity","55,571,725.98","0.07","55,571,725.98","3,123,762.00","17.79","Bermuda","NYSE","USD","1.00","USD","-"
"BANF","BANCFIRST CORP","Financials","Equity","55,476,684.60","0.07","55,476,684.60","483,036.00","114.85","United States","NASDAQ","USD","1.00","USD","-"
"NTB","BANK OF NT BUTTERFIELD & SON LTD","Financials","Equity","54,984,321.84","0.07","54,984,321.84","976,978.00","56.28","United States","NYSE","USD","1.00","USD","-"
"VERA","VERA THERAPEUTICS INC CLASS A","Health Care","Equity","54,781,301.52","0.07","54,781,301.52","1,426,968.00","38.39","United States","NASDAQ","USD","1.00","USD","-"
"CHEF","CHEFS WAREHOUSE INC","Consumer Staples","Equity","54,677,702.85","0.07","54,677,702.85","841,843.00","64.95","United States","NASDAQ","USD","1.00","USD","-"
"DK","DELEK US HOLDINGS INC","Energy","Equity","54,484,471.58","0.07","54,484,471.58","1,368,269.00","39.82","United States","NYSE","USD","1.00","USD","-"
